emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Ambev,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,2,AMBEV S.A.; COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
B3,listada,listed_companies,1,filiante_cvm,sim,codigo_cvm,alta,"B3 S.A. - BRASIL, BOLSA, BALCÃO",09346601000125,21610,cod_cvm:21610,0,,81,2026-07-24,Assembleia; Aviso aos Acionistas; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social; Fato Relevante,Código CVM 21610 (cadastro_cvm(auto)) casado no IPE.
BTG Pactual,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,4,BANCO BTG PACTUAL S/A; BTG PACTUAL COMMODITIES SERTRADING S.A.; BTG PACTUAL HOLDING PARTICIPAÇÕES S.A.; BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0,,,4 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Banco do Brasil,listada,listed_companies,1,filiante_cvm,sim,codigo_cvm,alta,BANCO DO BRASIL S.A.,00000000000191,1023,cod_cvm:1023,0,,130,2026-07-23,Assembleia; Calendário de Eventos Corporativos; Carta Anual de Governança Corporativa; Comunicado ao Mercado; Comunicação sobre Transação entre Partes Relacionadas; Contratos de Indenidade,Código CVM 1023 (cadastro_cvm(auto)) casado no IPE.
Bradesco,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,12,BANCO BRADESCO BBI S.A.; BANCO BRADESCO BERJ S.A.; BANCO BRADESCO S.A.; BCO BRADESCO INVESTIMENTO SA; BRADESCO BCN LEASING S/A ARR MERCANTIL; BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,0,,,12 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Eletrobras,listada,listed_companies,1,esperado_filiante_sem_protocolo_no_ano,nao,id_forte_sem_protocolo,alta,,,,cod_cvm:15784,0,,0,,,"Identificador forte (cadastro_cvm(auto)) declarado, sem protocolo no IPE do ano."
Equatorial Energia,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,5,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.; EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.; EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.; EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.; EQUATORIAL S.A.,0,,,5 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Itaú Unibanco,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,8,ITAÚ UNIBANCO HOLDING S.A.; ITAÚ UNIBANCO HOLDING S.A.; ITAU UNIBANCO S.A.; ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT; BANCO ITAU BBA  S.A.; CIMENTO ITAU DE CORUMBA SA,0,,,8 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Localiza,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,2,LOCALIZA  FLEET S.A.; LOCALIZA RENT A CAR SA,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
PRIO,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,3,PRIO FORTE S.A.; PRIO FORTE S.A.; PRIO S.A.,0,,,3 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
