company,tier,country,is_subsidiary,parent_company,coverage_status,coverage_status_label,reasons
Ambev,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"77 item(ns) encontrado(s), 1 evento(s) pontuável(is) classificado(s) — cobertura normal."
B3,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"99 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
BTG Pactual,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"88 item(ns) encontrado(s), 1 evento(s) pontuável(is) classificado(s) — cobertura normal."
Banco do Brasil,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"158 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Bradesco,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"163 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Eletrobras,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"22 item(ns) encontrado(s), 2 evento(s) pontuável(is) classificado(s) — cobertura normal."
Equatorial Energia,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"116 item(ns) encontrado(s), 2 evento(s) pontuável(is) classificado(s) — cobertura normal."
Itaú Unibanco,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"129 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Localiza,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"116 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
PRIO,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"104 item(ns) encontrado(s), 2 evento(s) pontuável(is) classificado(s) — cobertura normal."
Petrobras,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"215 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Raia Drogasil,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"91 item(ns) encontrado(s), 1 evento(s) pontuável(is) classificado(s) — cobertura normal."
Rede D'Or,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"81 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Suzano,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"101 item(ns) encontrado(s), 3 evento(s) pontuável(is) classificado(s) — cobertura normal."
Vale,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,Cobertura normal — evento real encontrado,"215 item(ns) encontrado(s), 2 evento(s) pontuável(is) classificado(s) — cobertura normal."
Vibra Energia,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,Só notícia informativa (sem evento pontuável),"95 item(ns) encontrado(s), 0 evento(s) pontuável(is) classificado(s) nesta execução."
Yura,2,Peru,False,,PARTIAL_COVERAGE,Cobertura parcial,Cobertura mista: RI_NEWS rodou(aram) com sucesso; GNEWS não foi(ram) tentada(s) ou falhou(aram) nesta execução.
Trupal,3,Peru,False,,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Coazucar,2,Peru,False,,FALLBACK_ONLY,Só fallback (Google News genérico),"Fonte(s) oficial(is) configurada(s) e tentada(s) com sucesso técnico, mas devolveram 0 itens; único conteúdo veio do fallback de busca genérica (Google News)."
Yobel,3,Peru,False,,COLLECTION_FAILURE,Falha de coleta,Todas as fontes tentadas (RI_NEWS) falharam tecnicamente nesta execução (erro de rede/parsing/timeout).
Casa Grande S.A.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Cartavio S.A.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Agroindustrias San Jacinto S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Empresa Agrícola Sintuco S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Agrolmos S.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
Empresa Agraria Chiquitoy S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,"Nenhuma fonte oficial (RI RSS/página de notícias, SEC/EDGAR, CVM/IPE filiante) configurada ou validada para este emissor."
